topic_0,topic_1,topic_2,topic_3,topic_4
0.02857142857142857,0.8857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
0.022222222222222223,0.022222222222222223,0.4666666666666667,0.022222222222222223,0.4666666666666667
0.16800000000000004,0.40800000000000003,0.008000000000000002,0.328,0.08800000000000002
0.039999999999999994,0.039999999999999994,0.039999999999999994,0.8399999999999999,0.039999999999999994
0.015384615384615387,0.015384615384615387,0.16923076923076927,0.7846153846153847,0.015384615384615387
0.00606060606060606,0.00606060606060606,0.00606060606060606,0.9757575757575756,0.00606060606060606
0.536842105263158,0.010526315789473687,0.22105263157894742,0.010526315789473687,0.22105263157894742
0.018181818181818184,0.018181818181818184,0.5636363636363636,0.38181818181818183,0.018181818181818184
0.039999999999999994,0.43999999999999995,0.43999999999999995,0.039999999999999994,0.039999999999999994
0.7333333333333332,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.06666666666666665
0.476923076923077,0.476923076923077,0.015384615384615387,0.015384615384615387,0.015384615384615387
0.12941176470588237,0.011764705882352941,0.48235294117647054,0.011764705882352941,0.3647058823529412
0.6888888888888889,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223
0.010526315789473687,0.9578947368421054,0.010526315789473687,0.010526315789473687,0.010526315789473687
0.4303030303030303,0.24848484848484848,0.06666666666666667,0.1272727272727273,0.1272727272727273
0.47692307692307695,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.47692307692307695
0.2837209302325581,0.19069767441860463,0.14418604651162792,0.004651162790697674,0.3767441860465116
0.43999999999999995,0.039999999999999994,0.43999999999999995,0.039999999999999994,0.039999999999999994
0.02857142857142857,0.3142857142857143,0.02857142857142857,0.3142857142857143,0.3142857142857143
0.9384615384615387,0.015384615384615389,0.015384615384615389,0.015384615384615389,0.015384615384615389
0.007407407407407408,0.007407407407407408,0.22962962962962963,0.007407407407407408,0.7481481481481481
0.6307692307692309,0.015384615384615389,0.015384615384615389,0.3230769230769232,0.015384615384615389
0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.9272727272727272
0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.9272727272727272
0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7333333333333334
0.022222222222222233,0.9111111111111114,0.022222222222222233,0.022222222222222233,0.022222222222222233
0.06666666666666665,0.7333333333333332,0.06666666666666665,0.06666666666666665,0.06666666666666665
0.022222222222222223,0.6888888888888889,0.022222222222222223,0.022222222222222223,0.24444444444444446
0.2952380952380953,0.48571428571428577,0.009523809523809526,0.009523809523809526,0.20000000000000004
0.009523809523809525,0.10476190476190476,0.7714285714285714,0.10476190476190476,0.009523809523809525
0.015384615384615385,0.015384615384615385,0.015384615384615385,0.3230769230769231,0.6307692307692307
0.3777777777777778,0.4518518518518519,0.15555555555555559,0.0074074074074074086,0.0074074074074074086
0.06666666666666667,0.06666666666666667,0.7333333333333333,0.06666666666666667,0.06666666666666667
0.26956521739130435,0.008695652173913044,0.6173913043478261,0.09565217391304348,0.008695652173913044
0.02857142857142857,0.02857142857142857,0.02857142857142857,0.8857142857142857,0.02857142857142857
0.9578947368421054,0.010526315789473687,0.010526315789473687,0.010526315789473687,0.010526315789473687
0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.9578947368421052
0.92183908045977,0.025287356321839077,0.0022988505747126436,0.04827586206896551,0.0022988505747126436
0.808,0.008000000000000002,0.008000000000000002,0.08800000000000002,0.08800000000000002
