topic_id,n_comments,topic_terms
0,127,"pak, allah, nadiem, adil, moga, siapa"
1,99,"orang, sama, baik, nadim, jangan, punya"
2,87,"jokowi, korupsi, apa, uang, nadiem, semua"
3,88,"hukum, indonesia, negara, gila, rakyat, orang"
4,99,"jadi, tumbal, mau, nadiem, jokowi, tri"
