komentar
"Org sepintar ini,kalah saya tukang mebel.😢😢😢"
Perlawanan ojol dgn tolak jokodok
"Pilpres yg untuk menentukan nasib 280 juta orang Indonesia saja bisa diatur, apalagi cuma untuk 1 orang Indonesia ... ?! Ya gak pak Nadiem ?! Sabar lah ya"
Kejahatan Luarbiasa DiNegeri ini
Negara Konoha memang negara paling aneh sedunia..
"Yg membuka lapangan kerja ber juta orang di Indonesia di bui,sedangkan koruptor di Indonesia yg merajalela,semakin solid,(pasti bung Karno&Soeharto)sedih melihat rakyat indonesia sengsara😢"
Biangkeroknya tangkap! Tapi siapa yang bisa nangkap???😢 semoga Tuhan memberikan hidajah untuk orang2 jujur. Aamiin
Yg Korupsi MBG tuh...di Hukum Mati
Kenapa begitu.. coba dehh tolong menolong logikanya egois .. yang menolong jangan setengah-setengah..
Astaghfirullah
"Gilaaaaaaaa😢😢😢😢😢, ya Allah azab orang-orang yg zholim"
"NAMANYA JUGAK PERANG POLITIK,LAWAN POLITIK YANG LEBIH BERKUASA AKAN BISA MENEKAN LAWANNYA DENGAN MUDAH"
"pengadilan akhirat pasti ada, tunggu aja jokowi"
"Minta sama Mak Banteng ,,karena bapak orang baik yang diperalat,,kuwalat orang2 yang memperalat bapak"
"Saya sebagai orang awam biasa berfikir sederhana begini ya ""mana mungkin orang yg punya aplikasi sebesar Gojek bisa korupsi milyaran. Pasti yg dibawah nya yg ngabisin Pak Nadiem yg kena getah nya😢"
Alloohu akbar ..... Tunjukkan keadilanMu di bumi negriku tercinta yaa Alloh
"Knp harus korupsi pak ??

Ga mungkin deh pak kalau ga punya 809 M .. 
Omset bapa dr gojek aja sudah pastantis
Selama jadi mentri berapa T apbn di kelola pak yang di jadikan proyek , 

Dan g mungkin kontraktor tersebut bener bener 100 persen orang lain tidak ada sey hello dengan bapa"
Tangkap hakimnya
"Kirain akn lbih baik negara ini, mlah smkin hncur"
"Semoga akhirnya spt nabi yusuf,dihukum krn bukan salah."
"Duit Anggaran pak Nadim harus tau , duitnya di pake apa atau di pake siapa klo tidak bisa menjelaskan ya repot pak"
Para HAKIM DZOLIM PASTI DILAKNAT ALLOH DIDUNIA DAN AKHIRAT ITU PASTI
Lalu bagaimana kabar Dadang sekarang
